index,energy,energy_per_particle,separation,force_rms,force_max,torque_rms,torque_max,net_force_norm,force_pair_residual_norm,torque_balance_residual_norm,quaternion_norm_error_max,split_random,split_ood
0,-0.02739614479907878,-0.01369807239953939,2.7410193657368906,0.09351946923173485,0.10689569,0.03920987862346596,0.05789141,0.0,0.0,6.327061298448137e-09,2.4511043195118987e-09,train,train
1,-0.01494101022903691,-0.007470505114518455,2.557596839154919,0.04603269747737471,0.0629771,0.01260299647844115,0.02079125,0.0,0.0,6.795561578975911e-09,8.625604674961096e-10,train,test_ood_short_range
2,-0.003958047847754079,-0.0019790239238770394,3.1296423176519608,0.009787804050744309,0.01193137,0.002734327321950806,0.0054333,0.0,0.0,2.2694637597481473e-08,4.580550272414996e-09,valid,train
3,-0.004432848279305647,-0.0022164241396528234,3.0879002372044235,0.011183906293749366,0.01390404,0.0028328096499412032,0.00505721,0.0,0.0,2.2808210125048714e-08,3.0802043138322688e-09,train,valid
4,-0.006767344024103874,-0.003383672012051937,2.9735949081175046,0.01840770439247382,0.02213356,0.006006098621830148,0.01139552,0.0,0.0,4.214247263735429e-09,1.4203442866289606e-09,train,train
5,-0.021346841503032257,-0.010673420751516128,2.6839093227856594,0.06984364064367063,0.08571279,0.025709980363254527,0.04037586,0.0,0.0,1.32275258542125e-08,3.3169174074032526e-09,train,valid
6,-0.0073417342340812725,-0.0036708671170406363,2.8790480328359696,0.02008572593951154,0.02185725,0.007622993013250548,0.01147876,0.0,0.0,8.95432048838036e-09,1.2652934255896753e-09,valid,valid
7,-0.016935354022572537,-0.008467677011286269,2.6295838038900317,0.05366832335197427,0.06307375,0.016375900710244917,0.02610417,0.0,0.0,1.5843212391380417e-08,3.291249273118524e-09,test,train
8,-0.0030082932602971454,-0.0015041466301485727,3.2512464664247127,0.007103041259697614,0.00776837,0.0012445466034999787,0.00163862,0.0,0.0,6.4494410752726685e-09,2.305918567202525e-09,train,train
9,-0.010055923520913668,-0.005027961760456834,2.950228369087112,0.029502486188096644,0.03874938,0.010817206520544787,0.01652765,0.0,0.0,9.219035893455841e-09,5.359412025285337e-09,train,train
10,-0.005584748639127539,-0.0027923743195637694,2.953616895919708,0.014533720668539538,0.01636597,0.004941791526587296,0.00673569,0.0,0.0,4.821924945106041e-09,2.8208144708941063e-09,test,train
11,-0.005409626841886908,-0.002704813420943454,3.129899191061735,0.014183893911851802,0.01762904,0.005107831167413426,0.00976855,0.0,0.0,1.1841508893342197e-08,8.842107046547198e-10,train,train
12,-0.007634496299328678,-0.003817248149664339,2.9969124757181844,0.021220957822314868,0.02388087,0.006155874911740816,0.0112546,0.0,0.0,7.187468737532172e-09,4.5476696852730925e-09,train,train
13,-0.007986778420748505,-0.003993389210374253,2.731363959698126,0.022155244295300226,0.0280224,0.006391149541046326,0.00987566,0.0,0.0,1.4002244260704481e-08,4.899993966134275e-09,train,train
14,-0.005582909376019768,-0.002791454688009884,2.906356334884023,0.014616220877934441,0.01684717,0.0046179285502953955,0.00819575,0.0,0.0,1.3765212170872374e-08,2.3153710060341837e-09,train,train
15,-0.0033125640454324456,-0.0016562820227162228,3.10369903447775,0.007917924681625861,0.00839035,0.002116277557749298,0.00300617,0.0,0.0,8.581383650546788e-09,3.7450564871477354e-10,test,train
16,-0.00538371152285925,-0.002691855761429625,3.018783892714949,0.013829567244734497,0.01664807,0.0031129271584983587,0.00558727,0.0,0.0,1.3617338125456671e-08,2.5865709574190987e-10,train,valid
17,-0.032035198024959216,-0.016017599012479608,2.6254438846836137,0.11320097056354772,0.14121592,0.04070335641923219,0.07504559,0.0,0.0,1.5737681577461174e-08,1.7442891575569774e-09,train,train
18,-0.004982088042874394,-0.002491044021437197,3.0753810247198983,0.012880586886600574,0.01634084,0.004903111473753171,0.00942439,0.0,0.0,9.781315924980166e-09,2.204514570891547e-09,train,train
19,-0.014760329001090788,-0.007380164500545394,2.7220048194887494,0.045213596501386615,0.05266645,0.00867448702818597,0.01709491,0.0,0.0,1.7097307980832088e-08,9.961601543651e-10,train,train
20,-0.008384603834423772,-0.004192301917211886,2.961037623771471,0.023825842467551206,0.03223056,0.007481902388418113,0.0145414,0.0,0.0,1.4321055898636615e-08,1.2011454053606485e-09,valid,train
21,-0.01279554942640305,-0.006397774713201525,2.746993903087294,0.03856479210940552,0.04311723,0.012326109196169732,0.02252658,0.0,0.0,6.363864817462e-09,5.065228236844632e-09,train,train
22,-0.012179862457814527,-0.006089931228907264,2.624568802263596,0.036325040824197755,0.04545513,0.013699735287502821,0.02199398,0.0,0.0,4.813795800003782e-09,2.7451450002047295e-09,train,train
23,-0.004209451786839208,-0.002104725893419604,3.063583342377947,0.010480074527931564,0.01184012,0.0009781620046546483,0.00147613,0.0,0.0,3.335813030194677e-09,3.314741814364197e-09,valid,train
24,-0.020889235706555234,-0.010444617853277617,2.589666348284176,0.06890530392121905,0.09013449,0.02485071820612267,0.04473184,0.0,0.0,1.3230210331977616e-08,4.0432122094813394e-09,train,test_ood_short_range
25,-0.011848914218823229,-0.0059244571094116145,2.8376808226100225,0.03548632120546028,0.04741936,0.008351015840497092,0.01357148,0.0,0.0,4.07880126888568e-09,4.180012558308022e-09,train,train
26,-0.011037286780882947,-0.005518643390441474,3.0424704540276712,0.03247161814268526,0.03472023,0.01014706149475387,0.0158207,0.0,0.0,1.8589214728733332e-08,4.037887579855237e-09,train,valid
27,-0.009265407489771461,-0.0046327037448857305,2.8245300747469506,0.026347147127220437,0.03199475,0.005461243087535108,0.00758006,0.0,0.0,3.695395967283813e-09,7.033871263217861e-10,valid,train
28,-0.008634554660113177,-0.004317277330056588,3.0780031932696095,0.024401747135914947,0.02942511,0.005452805398997229,0.00994468,0.0,0.0,6.532344246079717e-09,5.1799093903071025e-09,train,train
29,-0.005563534885204492,-0.002781767442602246,3.096375725980709,0.014606153831791813,0.01533403,0.00295715633190345,0.00625476,0.0,0.0,1.1143256760205431e-08,4.639874928713539e-09,train,train
30,-0.00314624386321443,-0.001573121931607215,3.158261733621139,0.007429066282436396,0.00837753,0.0022753704906380997,0.00404245,0.0,0.0,1.6963089837251146e-08,5.682737058698706e-09,valid,train
31,-0.006424813925065286,-0.003212406962532643,3.0243396094614363,0.017370402660004745,0.01832464,0.0045447983094265764,0.00784904,0.0,0.0,1.0711780354113775e-08,2.245384989052468e-09,valid,train
32,-0.0181241960938818,-0.0090620980469409,2.984171806335408,0.05736276138167774,0.06346713,0.021550509564277516,0.02846262,0.0,0.0,1.2398309944605434e-08,3.728559794247133e-09,train,train
33,-0.016507892312067608,-0.008253946156033804,2.7513951872433977,0.052489801147344486,0.06192421,0.02124403879677387,0.03286358,0.0,0.0,1.061656055951587e-08,4.82729656248182e-09,valid,train
34,-0.017341317607019843,-0.008670658803509921,2.7816853062321085,0.05599163544577261,0.07734738,0.024472720143009916,0.03470001,0.0,0.0,1.1755668911085e-08,3.2987578224563663e-09,test,valid
35,-0.08622586607647197,-0.04311293303823598,2.5875032346732865,0.35356207030455766,0.48400201,0.14329642243123292,0.22481871,0.0,0.0,1.6905989998071802e-08,3.011018767651308e-09,train,test_ood_short_range
36,-0.010561524725731982,-0.005280762362865991,2.9845971043511605,0.03112298831312582,0.04408263,0.013723319264665286,0.02813101,0.0,0.0,7.352119263063586e-09,2.1211548073551967e-09,test,valid
37,-0.007060620328331345,-0.0035303101641656724,2.662512948127116,0.018958253494269103,0.02274501,0.0030172915718156904,0.00461325,0.0,0.0,1.3691670534492175e-08,3.527913516876424e-10,test,train
38,-0.005534299970418918,-0.002767149985209459,3.1041028459725015,0.01441387995915627,0.01824564,0.0038308272881411227,0.00583727,0.0,0.0,1.1122873644200261e-08,3.5385421259803707e-09,train,train
39,-0.004613687244772861,-0.0023068436223864304,2.9291927156625563,0.011629436973941028,0.01193762,0.003235580303320153,0.00487794,0.0,0.0,5.702014977673901e-09,4.78403894277335e-09,test,train
40,-0.043683674119821346,-0.021841837059910673,2.350619093965717,0.159693016421639,0.1719199,0.020233934559723343,0.03477804,0.0,0.0,8.62048022835421e-09,4.352872284840714e-09,test,test_ood_short_range
41,-0.006447095820800078,-0.003223547910400039,2.9326471915984156,0.017457904212180415,0.02131575,0.006894387794694562,0.00971526,0.0,0.0,2.0573554507645705e-08,3.653192526265059e-09,valid,valid
42,-0.008802896996215235,-0.004401448498107617,2.9183612263542575,0.02528155189585811,0.0300571,0.011796024543277987,0.01745694,0.0,0.0,2.426598457623646e-08,4.688774257743944e-09,train,train
43,-0.007183598491413116,-0.003591799245706558,3.040766544694232,0.01980703302272453,0.02187305,0.006373723624463961,0.01185418,0.0,0.0,4.404169728379803e-09,2.922800446114593e-09,test,valid
44,-0.008230365188664763,-0.004115182594332381,2.779187165936999,0.022991192874865514,0.02546469,0.008020787389093,0.01552554,0.0,0.0,1.3979692938653295e-08,1.9462019773541783e-09,train,train
45,-0.00690761095937876,-0.00345380547968938,2.9781203497965105,0.018869158917016765,0.0241213,0.0062498922695181985,0.01074625,0.0,0.0,1.6184949358215037e-08,4.227609040619029e-09,valid,unused
46,-0.007614331547886435,-0.0038071657739432176,2.8578721271904075,0.021058872606019692,0.02429158,0.005648388684148486,0.01110935,0.0,0.0,4.7066654803497195e-09,8.347289526255963e-10,train,train
47,-0.005233298654115721,-0.0026166493270578604,2.9868237721442683,0.013578253235625217,0.01508493,0.004796005523917795,0.00829114,0.0,0.0,1.249387349109111e-08,3.4013786232023335e-09,train,train
48,-0.012086402700590942,-0.006043201350295471,2.7407027187088455,0.03612673335903483,0.04416862,0.014268366769810529,0.02552962,0.0,0.0,1.2842763331240089e-08,3.325354214211984e-09,train,train
49,-0.008623609533053495,-0.004311804766526747,2.9404953487331706,0.023838066349823762,0.02621395,0.0059872462194025386,0.00904676,0.0,0.0,6.308154659410889e-09,4.027773004011692e-09,valid,train
50,-0.01628669987184058,-0.00814334993592029,2.8957724381900363,0.05126502469276072,0.06877856,0.023058613535629515,0.03338248,0.0,0.0,8.268137364523492e-09,4.41101044579284e-10,train,train
51,-0.03317738376503991,-0.016588691882519956,2.481596404149033,0.11639926912585276,0.16515481,0.04820066434765016,0.08562232,0.0,0.0,1.3174027607694436e-08,4.0147007940305457e-10,test,test_ood_short_range
52,-0.011311159257750118,-0.005655579628875059,2.704530688612172,0.03316976870196967,0.03934384,0.010380961018153216,0.0160814,0.0,0.0,5.7418030274929965e-09,1.634409718676011e-09,valid,train
53,-0.016495461510260434,-0.008247730755130217,2.4716109138960025,0.05121058174486922,0.05900866,0.015142413883021316,0.01992336,0.0,0.0,4.431027165975383e-09,4.024204858232849e-09,train,test_ood_short_range
